id,name,display_name,set_name,number,edition,year,remarks,rarity,artwork,image_url,pricecharting_url,market_price,pokemontcg_id,tcgplayer_product_id,tcgplayer_url
pk-0305,Pikachu,Pikachu — Ascended Heroes 56/217,Ascended Heroes,56/217,,2026,,Ultra Rare,Ascended Heroes UR Terastral Pikachu ex,https://images.pokemontcg.io/sm11/56_hires.png,https://www.pricecharting.com/game/pokemon-ascended-heroes/raichu-energy-56,1.99,sm11-56,194982,https://www.tcgplayer.com/product/194982
pk-0306,Pikachu,Pikachu — Ascended Heroes 276/217,Ascended Heroes,276/217,,2026,,Full Art Secret Rare,Ascended Heroes FA SR Terastral Pikachu ex,https://storage.googleapis.com/images.pricecharting.com/o7oe255flanpc7fa/1600.jpg,https://www.pricecharting.com/game/pokemon-ascended-heroes/pikachu-ex-276,908.32,me2pt5-276,676088,https://www.tcgplayer.com/product/676088
pk-0307,Pikachu,Pikachu — Ascended Heroes 277/217,Ascended Heroes,277/217,,2026,,Full Art Secret Rare,Ascended Heroes FA SR Pikachu ex,https://storage.googleapis.com/images.pricecharting.com/br63idkozy4kdqvm/1600.jpg,https://www.pricecharting.com/game/pokemon-ascended-heroes/pikachu-ex-277,347.50,me2pt5-277,676089,https://www.tcgplayer.com/product/676089
pk-0308,Pikachu,Pikachu — TopDeck Magazine Promo Jumbo,TopDeck Magazine Promo,Jumbo,Unlimited,2000,Jumbo size,Jumbo Common,Base Set,https://storage.googleapis.com/images.pricecharting.com/8f988210d1dc635c3911e26b83f65751ac8c4a1ffe4858fc822b4a476522a31e/1600.jpg,https://www.pricecharting.com/game/pokemon-promo/pikachu-top-deck-magazine-jumbo-58,20.99,,,
pk-0309,Pikachu,Pikachu — First Partner 25th Anniversary Set 58/102,First Partner 25th Anniversary Set,58/102,,2021,Jumbo size,Jumbo Common,Base Set,https://images.pokemontcg.io/base1/58_hires.png,https://www.pricecharting.com/game/pokemon-celebrations/pikachu-jumbo-58,8.00,base1-58,42402,https://www.tcgplayer.com/product/42402
pk-0310,Pikachu-EX,Pikachu-EX — Red & Blue Collection Jumbo,Red & Blue Collection,Jumbo,,2016,Jumbo size,Jumbo Full Art Promo,Promo XY124,https://storage.googleapis.com/images.pricecharting.com/hvkmew7bgoxolgnd/1600.jpg,https://www.pricecharting.com/game/pokemon-promo/pikachu-at-the-museum-jumbo,31.76,,,
pk-0311,Pikachu-EX,Pikachu-EX — Pikachu-EX Challenge Box Jumbo,Pikachu-EX Challenge Box,Jumbo,,2017,Jumbo size - USA/Canada exclusive,Jumbo Ultra Rare Promo,Promo XY174,https://storage.googleapis.com/images.pricecharting.com/7iwmkoscmzzc5k3v/1600.jpg,https://www.pricecharting.com/game/pokemon-promo/pikachu-at-the-museum-jumbo,31.76,,,
pk-0312,Pikachu & Zekrom-GX,Pikachu & Zekrom-GX — SM Black Star Promos SM248,SM Black Star Promos,SM248,,2021,Jumbo size,Jumbo Full Art Golden Secret Rare,Team Up (Pikachu & Zekrom) Golden Secret Rare,https://storage.googleapis.com/images.pricecharting.com/edbd5c3cc9c24f1db3ec64a8c36c08e4c389e52ccb89567d1f9b9193ed5d25e5/1600.jpg,https://www.pricecharting.com/game/pokemon-promo/pikachu-zekrom-gx-jumbo-sm248,10.70,smp-SM248,253397,https://www.tcgplayer.com/product/253397
pk-0313,Pikachu,Pikachu — BEAM × Sun & Moon Jumbo,BEAM × Sun & Moon,Jumbo,,2019,Jumbo size,Jumbo Full Art Promo,Promo SM232,https://storage.googleapis.com/images.pricecharting.com/7iwmkoscmzzc5k3v/1600.jpg,https://www.pricecharting.com/game/pokemon-promo/pikachu-at-the-museum-jumbo,31.76,,,
pk-0314,Pikachu V,Pikachu V — Vivid Voltage 43/185,Vivid Voltage,43/185,,2020,Jumbo size - Europe exclusive (sealed),Jumbo Full Art Promo,Vivid Voltage - Pikachu V Ultra Rare (1),https://storage.googleapis.com/images.pricecharting.com/corr6vrujdapoyxoj5ao/1600.jpg,https://www.pricecharting.com/game/pokemon-vivid-voltage/pikachu-v-jumbo-43,6.79,swsh4-43,226430,https://www.tcgplayer.com/product/226430
pk-0315,Pikachu V,Pikachu V — SWSH Black Star Promos SWSH061,SWSH Black Star Promos,SWSH061,,2021,Jumbo size,Jumbo Full Art Ultra Rare Promo,Promo SWSH061 Pikachu V,https://storage.googleapis.com/images.pricecharting.com/f50c0e29c8d7dea4a297ef37fa93f141bd648158de85c9d29ff1c778217a5090/1600.jpg,https://www.pricecharting.com/game/pokemon-promo/pikachu-v-jumbo-swsh061,3.01,swshp-SWSH061,232434,https://www.tcgplayer.com/product/232434
pk-0316,Pikachu V,Pikachu V — SWSH Black Star Promos SWSH198,SWSH Black Star Promos,SWSH198,,2022,Jumbo size,Jumbo Full Art Ultra Rare Promo,Promo SWSH198 Pikachu V,https://storage.googleapis.com/images.pricecharting.com/5111b9df589e87dc7dad593453acb0c4d54f9e33ff659796d94dfa5423aadd2a/1600.jpg,https://www.pricecharting.com/game/pokemon-promo/pikachu-v-jumbo-swsh198,3.15,swshp-SWSH198,260711,https://www.tcgplayer.com/product/260711
pk-0317,Pikachu VMAX,Pikachu VMAX — SWSH Black Star Promos SWSH286,SWSH Black Star Promos,SWSH286,,2023,Jumbo size,Jumbo Full Art Ultra Rare Promo,Promo SWSH286 Pikachu Vmax,https://storage.googleapis.com/images.pricecharting.com/c6326d13d7260c436fbd2326fe312bd55ac3b5c4265802af1f4a0aa2757758a4/1600.jpg,https://www.pricecharting.com/game/pokemon-promo/pikachu-vmax-jumbo-swsh286,4.49,swshp-SWSH286,478424,https://www.tcgplayer.com/product/478424
pk-0318,Pikachu,Pikachu — Pikachu at the Museum Jumbo,Pikachu at the Museum,Jumbo,,2026,Jumbo size,Jumbo Promo,Promo MEP - Pikachu at the Museum,https://storage.googleapis.com/images.pricecharting.com/7iwmkoscmzzc5k3v/1600.jpg,https://www.pricecharting.com/game/pokemon-promo/pikachu-at-the-museum-jumbo,31.76,,,
pk-0319,Pikachu,Pikachu — Olympia London Toy Fair Jumbo,Olympia London Toy Fair,Jumbo,Unlimited,1999,Ultra Jumbo size (Shadowless yellow cheeks),Ultra Jumbo Common,Base Set,https://storage.googleapis.com/images.pricecharting.com/0274c505e8000ad3f92669113e24b292166030512a6913df1c8a86ef3f0b7446/1600.jpg,https://www.pricecharting.com/game/pokemon-base-set/pikachu-shadowless-58,21.74,,,
pk-0320,Pikachu,Pikachu — Pokémon 'Bible' Photo Jumbo,Pokémon 'Bible' Photo,Jumbo,Unlimited,2000,Ultimate Jumbo size (Shadowless yellow cheeks),Ultimate Jumbo Common,Base Set,https://storage.googleapis.com/images.pricecharting.com/0274c505e8000ad3f92669113e24b292166030512a6913df1c8a86ef3f0b7446/1600.jpg,https://www.pricecharting.com/game/pokemon-base-set/pikachu-shadowless-58,21.74,,,
pk-0321,Pikachu,Pikachu — Pokémon League Jumbo,Pokémon League,Jumbo,Unlimited,2000,Ultra Jumbo size (Square cut),Ultra Jumbo Common,Base Set,https://images.pokemontcg.io/base4/87_hires.png,https://www.pricecharting.com/game/pokemon-promo/pikachu-at-the-museum-jumbo,31.76,,,
pk-0322,Pikachu,Pikachu — Neo Genesis 70/111,Neo Genesis,70/111,Unlimited,2000,(NFC) Square cut,Common,Neo Genesis,https://storage.googleapis.com/images.pricecharting.com/34f14f9358ffb190fcc14ca5b725a8147aa71e7af8101ddd8d271f04ce75a47a/1600.jpg,https://www.pricecharting.com/game/pokemon-neo-genesis/pikachu-70,6.36,neo1-70,,
